game_number,Date,Team,Opponent,Name,Projected_PTS,Actual_PTS,Projected_REB,Actual_REB,Projected_AST,Actual_AST,Projected_TOV,Actual_TOV,Projected_STL,Actual_STL,Projected_BLK,Actual_BLK,Projected_FG3A,Actual_FG3A,Projected_PF,Actual_PF,Projected_FGM,Actual_FGM,Projected_FGA,Actual_FGA,Projected_OREB,Actual_OREB,Projected_FTA,Actual_FTA
3,11/1/17,CHA,MIL,Cody Zeller,7.54,6,4.15,8,1.11,1,0.72,1,0.35,0,0.46,1,0,0,1.81,1,2.9,2,4.99,5,1.1,2,2.59,2
3,11/1/17,CHA,MIL,Marvin Williams,7.82,15,4.46,4,1.19,0,0.65,0,0.52,1,0.35,0,1.18,3,1.31,0,2.71,5,6.42,8,0.68,1,1.57,2
3,11/1/17,CHA,MIL,Malik Monk,9.41,25,2.84,2,2.29,1,1.42,0,0.46,1,0.25,0,1.09,5,1.12,1,3.33,10,9.23,17,0.65,0,2.03,0
3,11/1/17,CHA,MIL,Kemba Walker,23.84,26,3.34,2,6.26,3,2.32,1,0.9,0,0.17,1,2.75,3,1.34,0,7.94,8,17.15,12,0.44,0,5.99,7
3,11/1/17,CHA,MIL,Michael Kidd-Gilchrist,8.88,0,6.4,1,1.48,1,0.68,0,0.64,0,0.64,0,0.01,0,2.03,1,3.37,0,7.15,2,1.36,0,2.7,0
3,11/1/17,CHA,MIL,Jeremy Lamb,15.18,16,5.47,4,2.61,2,1.07,1,0.7,0,0.37,0,1.17,2,2,0,5.52,5,12.47,11,0.57,0,3.6,5
4,11/1/17,PHX,WAS,Alex Len,10.21,4,8.52,6,0.93,2,2.07,0,0.6,1,1.31,1,0.01,0,3.85,6,3.85,2,7.69,3,2.3,2,3.3,0
4,11/1/17,PHX,WAS,Josh Jackson,10.13,7,4.16,2,2.47,1,1.55,1,1.39,0,0.45,0,0.77,0,2.86,5,3.96,2,9.83,3,0.91,1,2.19,4
4,11/1/17,PHX,WAS,Tyson Chandler,8.28,8,9.89,3,0.74,0,1.85,1,0.61,0,0.83,0,0,0,3.45,4,3.39,4,5.21,5,2.66,3,2.06,0
4,11/1/17,PHX,WAS,TJ Warren,16.28,40,5.29,10,1.65,1,1.36,1,1.06,1,0.6,2,0.27,1,2.84,1,7.01,16,13.94,22,1.55,3,2.58,10
4,11/1/17,PHX,WAS,Devin Booker,25.92,22,5,1,5.49,5,4.23,0,1.1,1,0.32,0,2.28,3,3.25,2,9.59,7,21.8,15,0.66,0,5.35,5
4,11/1/17,PHX,WAS,Tyler Ulis,10.49,8,1.75,2,4.74,4,2.11,3,1.42,0,0.08,0,0.35,0,1.74,1,4.51,1,10.13,6,0.38,0,1.44,6
4,11/1/17,PHX,WAS,Dragan Bender,7.76,8,5.93,5,1.25,0,2.29,0,0.84,0,1.16,1,1.65,1,3.21,0,2.87,3,8.18,9,0.98,1,0.65,1
4,11/1/17,PHX,WAS,Marquese Chriss,9.84,9,4.58,10,1.22,4,2.05,1,0.93,2,1.12,1,0.99,1,3.66,1,3.71,3,8.52,7,1.01,1,2.13,2
4,11/1/17,PHX,WAS,Troy Daniels,6.99,6,1.27,2,0.75,0,0.85,0,0.32,0,0.07,0,1.69,2,1.64,1,2.41,2,6.18,3,0.28,0,0.68,0
4,11/1/17,WAS,PHX,Mike Scott,6.52,12,4.32,8,1.44,1,0.67,0,0.38,0,0.28,0,0.37,1,1.04,2,2.59,5,6.8,11,0.91,2,1.11,1
4,11/1/17,WAS,PHX,Tomas Satoransky,3.43,6,1.7,1,1.85,2,0.81,0,0.64,0,0.15,0,0.16,0,0.76,4,1.33,2,3.18,5,0.51,1,0.85,2
4,11/1/17,WAS,PHX,John Wall,24.02,21,3.69,5,9.99,6,3.92,4,1.91,3,0.81,1,1.14,1,1.56,5,8.14,10,18.88,18,0.72,0,8.18,4
4,11/1/17,WAS,PHX,Jodie Meeks,10.82,6,2.79,0,0.93,2,1.01,1,1.18,0,0.12,0,1.65,0,0.92,0,3.16,3,8.71,5,0.17,0,3.21,0
4,11/1/17,WAS,PHX,Tim Frazier,4.51,6,1.7,2,3.26,3,1.17,1,0.78,2,0.06,0,0.39,0,1.21,1,1.45,2,3.73,7,0.35,0,1.46,2
4,11/1/17,WAS,PHX,Bradley Beal,23.74,40,4,6,3.61,2,1.99,1,1.3,0,0.44,0,1.99,6,1.91,3,8.37,12,17.62,25,0.89,2,6.07,11
4,11/1/17,WAS,PHX,Ian Mahinmi,5.45,2,4.28,6,0.53,1,0.99,0,0.81,0,0.76,1,0,0,1.87,2,1.99,0,3.46,4,1.34,3,2.45,2
4,11/1/17,WAS,PHX,Marcin Gortat,12.44,9,10.54,13,1.69,2,1.39,3,0.66,0,1.07,2,0,0,2.7,3,5.36,3,9.26,6,2.69,4,2.65,4
4,11/1/17,WAS,PHX,Kelly Oubre Jr.,12.13,8,6.55,2,0.93,0,0.84,2,1.63,0,0.52,0,1.34,2,2.95,5,4.35,3,10.23,7,1.37,2,2.72,0
4,11/1/17,WAS,PHX,Jason Smith,11.44,6,7,2,1.06,1,1.35,0,0.63,0,1.18,0,0.86,0,2.91,3,4.76,1,8.67,4,1.73,1,1.56,4
5,11/1/17,HOU,NYK,Nene,7.94,4,3.32,1,1.03,0,0.95,2,0.41,0,0.58,0,0.05,0,1.73,3,3.18,2,5.17,2,1.02,0,2.62,0
5,11/1/17,HOU,NYK,Trevor Ariza,9.61,16,5.38,8,2.68,2,0.85,2,1.42,0,0.39,0,2,4,1.97,1,3.16,5,9.02,9,0.67,2,1.55,2
5,11/1/17,HOU,NYK,Eric Gordon,22.26,17,2.59,2,3.75,4,1.93,1,0.45,0,0.68,0,4.41,4,2.11,0,7.36,6,17.75,13,0.38,0,3.72,1
5,11/1/17,HOU,NYK,Luc Mbah a Moute,6.72,10,2.82,9,0.73,1,0.77,0,0.77,3,0.6,0,0.73,2,1.61,2,2.6,4,5.17,8,0.53,1,1.06,2
5,11/1/17,HOU,NYK,PJ Tucker,6.8,3,6.28,3,1.36,2,0.95,0,1.08,2,0.37,1,1.42,1,2.48,2,2.26,1,6.32,4,1.44,0,1.18,0
5,11/1/17,HOU,NYK,Ryan Anderson,13.35,21,5.77,3,0.91,0,0.72,0,0.43,0,0.37,0,3.21,2,2.13,3,4.26,7,10.57,13,1.52,0,1.97,5
5,11/1/17,HOU,NYK,Clint Capela,15.25,12,10.41,13,1.62,2,1.39,1,0.84,1,1.66,3,0,0,3.54,0,6.63,6,9.9,10,2.73,4,3.15,0
5,11/1/17,HOU,NYK,James Harden,27.57,31,5.75,5,10.03,9,5.35,7,1.27,0,0.63,0,3.59,6,2.64,5,8.3,9,19.73,23,0.88,1,8.95,9
5,11/1/17,NYK,HOU,Enes Kanter,15.78,12,8.94,6,1.61,0,1.92,1,0.72,0,0.75,0,0.05,0,2.86,2,6.34,6,11.24,6,2.99,2,3.86,0
5,11/1/17,NYK,HOU,Lance Thomas,0.85,3,0.4,7,0.14,0,0.07,0,0.06,0,0.01,0,0.11,1,0.24,0,0.29,1,0.81,3,0.07,2,0.18,0
